Strike,Type,Last,IV,Delta,Gamma,Theta,Vega,"IV Skew",Time
39.00,Call,33.34,75.20%,0.94687780080354,0.0029929427621933,-0.011982063513918,0.033128470221986,+36.55%,10/03/24
42.00,Call,30.37,67.22%,0.94278067600128,0.0036213893632779,-0.011570599133155,0.035830411558894,+28.57%,10/03/24
42.50,Call,29.88,66.08%,0.94178400042779,0.0037502849464277,-0.011580214385911,0.036477058940445,+27.43%,10/03/24
43.00,Call,29.39,64.96%,0.94076202280706,0.0038843627152496,-0.011588536329633,0.037135960674497,+26.30%,10/03/24
43.50,Call,28.9,63.84%,0.93971365926624,0.0040238999740404,-0.011595555596627,0.037807573472632,+25.18%,10/03/24
44.00,Call,28.41,62.73%,0.93863906797522,0.0041691446067172,-0.011600885123165,0.038491548418606,+24.07%,10/03/24
44.50,Call,27.92,61.63%,0.93753586187555,0.0043204573955659,-0.011604866363359,0.039189143647055,+22.97%,10/03/24
45.00,Call,27.43,60.54%,0.93640418393449,0.0044781248436717,-0.011607091367089,0.039899993630891,+21.88%,10/03/24
51.00,Call,21.68,50.53%,0.91176174457612,0.0073044649016308,-0.013300540436613,0.054325415352333,+11.87%,10/03/24
52.00,Call,20.75,49.32%,0.90510514169174,0.0079788862739964,-0.013880158283396,0.057919204185015,+10.66%,10/03/24
54.00,Call,18.91,47.02%,0.88963656254265,0.0095138659122357,-0.015146039083959,0.065846030815823,+8.37%,10/03/24
56.00,Call,17.13,45.26%,0.86928852938585,0.011329244514361,-0.016857019126116,0.075465519508536,+6.60%,10/03/24
59.00,Call,14.58,43.19%,0.82951006366339,0.014473389574797,-0.019949843063287,0.092009192814115,+4.53%,10/03/24
59.50,Call,14.17,42.89%,0.82179730977309,0.015034162387863,-0.020500883282641,0.094908939405679,+4.23%,10/03/24
60.00,Call,13.76,42.55%,0.81397215721432,0.015608251364745,-0.021017539104833,0.097756658074739,+3.90%,10/03/24
60.50,Call,13.36,42.28%,0.80560090976564,0.016182530852083,-0.021585135755345,0.10070108624339,+3.62%,10/03/24
61.00,Call,12.97,42.06%,0.79671493703788,0.016752520723777,-0.022197029400828,0.10371453279597,+3.41%,10/03/24
62.00,Call,12.2,41.60%,0.77826338923167,0.017904403695619,-0.023373294221566,0.10961738789592,+2.94%,10/03/24
62.50,Call,11.82,41.35%,0.76869370578012,0.018485921934419,-0.023934947888975,0.11249720275196,+2.69%,10/03/24
63.00,Call,11.45,41.14%,0.75867255814485,0.01905424341447,-0.024525905736421,0.11538447328987,+2.49%,10/03/24
63.50,Call,11.09,40.98%,0.74823627407349,0.019605526093379,-0.02514032381856,0.1182552004972,+2.32%,10/03/24
64.00,Call,10.73,40.77%,0.73770632321365,0.020164538288442,-0.025704640460731,0.12101428517554,+2.12%,10/03/24
64.50,Call,10.38,40.61%,0.72679241072219,0.02070271045644,-0.026286459016443,0.12373166494976,+1.95%,10/03/24
65.00,Call,10.03,40.39%,0.71577733477917,0.021248621130335,-0.026816138287647,0.12633055056294,+1.74%,10/03/24
65.50,Call,9.7,40.29%,0.70418211234996,0.021736460481099,-0.027421096260094,0.12891361923761,+1.64%,10/03/24
66.00,Call,9.36,40.07%,0.69272254098246,0.02226405205524,-0.027907343406574,0.13131561277442,+1.42%,10/03/24
66.50,Call,9.04,39.96%,0.68075506041671,0.022727359768243,-0.028460719935827,0.1336669637936,+1.30%,10/03/24
67.00,Call,8.72,39.80%,0.66870627641021,0.02319534409353,-0.028955907080634,0.13587495826914,+1.14%,10/03/24
67.50,Call,8.42,39.74%,0.65626558300713,0.023590914984829,-0.02950816224973,0.13798976582353,+1.08%,10/03/24
68.00,Call,8.11,39.57%,0.64389304475474,0.024029049353473,-0.02994303158255,0.13992923332841,+0.91%,10/03/24
68.50,Call,7.82,39.49%,0.63120230167242,0.024390100229062,-0.030429231160382,0.14175129912504,+0.83%,10/03/24
69.00,Call,7.54,39.43%,0.61837220554861,0.024711509393498,-0.030907097231959,0.14342336841581,+0.78%,10/03/24
69.50,Call,7.26,39.33%,0.60549235087373,0.02503450572558,-0.031322071182401,0.14493199451079,+0.68%,10/03/24
70.00,Call,6.99,39.26%,0.59250311866736,0.025316349483964,-0.031726765837053,0.14628279820543,+0.60%,10/03/24
70.50,Call,6.73,39.21%,0.57944172884611,0.025555518870459,-0.032119836454019,0.14746991394723,+0.55%,10/03/24
71.00,Call,6.47,39.11%,0.56633116939096,0.025795634491629,-0.032449429265818,0.14849025075599,+0.45%,10/03/24
71.50,Call,6.23,39.10%,0.5532158935256,0.025947181003066,-0.032816210284029,0.14934047077178,+0.45%,10/03/24
72.00,Call,5.99,39.05%,0.54008189381891,0.02609889441401,-0.033118965193955,0.15002199806113,+0.40%,10/03/24
72.50,Call,5.75,38.96%,0.5269001565555,0.026250743699045,-0.033358617101962,0.1505358238075,+0.30%,10/03/24
73.00,Call,5.53,38.96%,0.51384948912716,0.026312378891098,-0.033633615090803,0.15087715884757,+0.30%,10/03/24
73.50,Call,5.31,38.91%,0.50078248530335,0.026373885404669,-0.033845721325341,0.15105244315895,+0.26%,10/03/24
74.00,Call,5.09,38.83%,0.48767085315264,0.026434997971355,-0.033995478612251,0.15106108522855,+0.17%,10/03/24
74.50,Call,4.88,38.76%,0.47465725088853,0.026450601346008,-0.034132307526569,0.15090402054372,+0.11%,10/03/24
75.00,Call,5.1,38.72%,0.46178036334628,0.026421017486743,-0.034256831164987,0.1505860071846,+0.07%,"02:31 CT"
75.50,Call,4.5,38.78%,0.44929381862501,0.026303167498086,-0.034419908403806,0.15012285070222,+0.12%,10/03/24
76.00,Call,4.32,38.79%,0.43682928197279,0.026185966090133,-0.034523892976734,0.14950803951063,+0.13%,10/03/24
76.50,Call,4.15,38.83%,0.42461736193088,0.026026637953557,-0.03461981594022,0.14875734872201,+0.18%,10/03/24
77.00,Call,3.99,38.90%,0.4126972471306,0.025826651622489,-0.034709972589509,0.14788228275152,+0.25%,10/03/24
77.50,Call,3.83,38.94%,0.40080918049687,0.025628026420093,-0.034744707695736,0.1468687100178,+0.28%,10/03/24
78.00,Call,3.68,39.00%,0.38924721840313,0.025390813612946,-0.03477708781767,0.14574708358455,+0.34%,10/03/24
78.50,Call,3.54,39.10%,0.378049905668,0.02511714995943,-0.034810058803384,0.14453215501281,+0.44%,10/03/24
79.00,Call,3.4,39.16%,0.36689772964951,0.024846120114603,-0.034791976932264,0.14319520609803,+0.50%,10/03/24
79.50,Call,3.27,39.25%,0.3561456892565,0.024541312553923,-0.034778894363457,0.14178519329157,+0.60%,10/03/24
80.00,Call,3.14,39.32%,0.34543731640572,0.024239345059902,-0.034717481821417,0.14026162097878,+0.66%,10/03/24
80.50,Call,3.02,39.41%,0.33516569313647,0.023906567515858,-0.034665957211089,0.13868712998805,+0.76%,10/03/24
