Strike,Type,Last,IV,Delta,Gamma,Theta,Vega,"IV Skew","Last Trade"
340-0,Call,93.25,30.58%,0.88895315050644,0.0019642015251832,-0.046489134072211,0.45241384840731,+13.40%,09/25/24
350-0,Call,82.125,24.80%,0.90171153904577,0.0021675924911661,-0.032880163390523,0.40495310439675,+7.62%,"08:46 CT"
360-0,Call,73.625,24.96%,0.8707152997276,0.0027421181816929,-0.043546700136311,0.51560475073528,+7.78%,09/25/24
370-0,Call,64.125,22.75%,0.85373133567087,0.0033270761880886,-0.04439672567545,0.57005703264282,+5.57%,09/25/24
380-0,Call,55,21.03%,0.82747160120968,0.0040840659510958,-0.047604235929838,0.64684642569913,+3.85%,09/25/24
390-0,Call,46.625,20.09%,0.78611646775244,0.0049672024110869,-0.054849155660151,0.75175865051145,+2.91%,09/25/24
400-0,Call,38.75,19.29%,0.73439363827708,0.0059127784261722,-0.062947354725566,0.85897043468499,+2.11%,09/25/24
410-0,Call,31.75,18.86%,0.67023338654918,0.0067531189179779,-0.072664738149067,0.95947624793113,+1.68%,09/25/24
420-0,Call,25.5,18.52%,0.59823635677248,0.0074112686267971,-0.081838463736508,1.0337400218135,+1.34%,"19:00 CT"
430-0,Call,19.125,17.83%,0.52090998718638,0.0079755381810362,-0.088071926609228,1.0713296171006,+0.65%,"11:58 CT"
440-0,Call,14.875,18.53%,0.44533458494532,0.0076462979208617,-0.097511017395652,1.0673083045962,+1.35%,"12:15 CT"
450-0,Call,12,18.18%,0.36947768875421,0.0074673470079643,-0.10040901341836,1.0226042486989,+1.00%,"11:40 CT"
460-0,Call,10.125,19.30%,0.31378510245326,0.0066238882981607,-0.10625575703927,0.96286769760027,+2.12%,"10:53 CT"
470-0,Call,7.125,18.65%,0.24679599379152,0.0061105450421328,-0.10358545281005,0.85858125712147,+1.47%,"11:27 CT"
480-0,Call,5.5,19.63%,0.20815136956036,0.0052820066288836,-0.10544851245905,0.78078717247283,+2.44%,"11:58 CT"
490-0,Call,4.375,19.50%,0.16270584440707,0.0045652850344295,-0.10202661597753,0.67066986305958,+2.32%,09/25/24
500-0,Call,3.5,20.03%,0.13300319042243,0.0038868867506378,-0.10056316298937,0.58635130389746,+2.85%,"19:00 CT"
510-0,Call,2.875,20.66%,0.11036945884374,0.0033065732987876,-0.099286648017495,0.51455079215157,+3.48%,"09:01 CT"
520-0,Call,2.5,21.54%,0.095021707931128,0.0028450694069641,-0.098989890279165,0.46164890632172,+4.36%,"09:47 CT"
530-0,Call,1.875,21.60%,0.074345873895713,0.0023609439959469,-0.095419611277614,0.38419300944963,+4.42%,"09:05 CT"
340-0,Put,0.5,19.49%,-0.023790113752212,0.001044991910366,-0.0065863248654646,0.15339865034926,+2.31%,09/25/24
350-0,Put,0.625,18.14%,-0.030885738774408,0.0013952316286644,-0.0074555190759297,0.19067751675668,+0.96%,09/25/24
360-0,Put,1,17.63%,-0.047619432366,0.0020421247268856,-0.010362282897663,0.27121308139767,+0.45%,09/25/24
370-0,Put,1.5,16.94%,-0.069671654061691,0.0028646621487986,-0.013389362300277,0.36557667081849,-0.24%,"10:11 CT"
380-0,Put,2.5,16.81%,-0.10731007466822,0.0039827612127602,-0.018568103475571,0.50429236350362,-0.37%,"11:23 CT"
390-0,Put,3.875,16.53%,-0.15512706669781,0.0052225140056117,-0.02359632015967,0.65014855662707,-0.65%,"11:26 CT"
400-0,Put,5.375,15.71%,-0.2089457984984,0.0066149345035856,-0.026418107704984,0.78252656271424,-1.48%,"10:48 CT"
410-0,Put,9.25,16.61%,-0.29412913677946,0.0074837806111355,-0.033935102637364,0.93607197162324,-0.57%,"12:05 CT"
420-0,Put,12.875,16.74%,-0.37655911253495,0.0081552772648817,-0.036719684850367,1.0285368643949,-0.44%,"11:29 CT"
430-0,Put,17.875,15.37%,-0.46227603823853,0.0092592177736693,-0.031663461231049,1.0716967049601,-1.81%,"11:55 CT"
440-0,Put,23.875,14.93%,-0.55689116742648,0.00941910262221,-0.026338827466924,1.0591373812144,-2.25%,"12:05 CT"
450-0,Put,29,16.56%,-0.62733138108601,0.0080845379302957,-0.026020017722869,1.0084168890611,-0.62%,09/25/24
460-0,Put,36.125,16.69%,-0.69890845489988,0.0073094628082881,-0.01798053837477,0.91874972960868,-0.49%,09/25/24
470-0,Put,44.5,17.59%,-0.74923536784234,0.0062702451076016,-0.012291730984144,0.8307361996377,+0.41%,"11:42 CT"
480-0,Put,51.875,16.59%,-0.81752772188468,0.0053904512137782,0.0036821319103218,0.67377426481254,-0.59%,09/25/24
490-0,Put,60.5,16.60%,-0.86085073489678,0.0043806648297666,0.014715089316655,0.54771729547586,-0.58%,09/25/24
500-0,Put,69.5,16.69%,-0.89364536314453,0.003463030980717,0.02471862895552,0.43528982188273,-0.49%,09/25/24
510-0,Put,78.75,16.81%,-0.91822710012042,0.0026774147211057,0.03362013823749,0.33894591994831,-0.37%,09/25/24
520-0,Put,88.25,17.23%,-0.93350884794602,0.0020999429976825,0.040012403352049,0.27245598998053,+0.04%,09/25/24
530-0,Put,97.75,17.23%,-0.94838720255605,0.0015523189126298,0.047335900026252,0.20145272406314,+0.05%,09/25/24
"Downloaded from Barchart.com as of 09-26-2024 12:31pm CDT"
