Strike,Type,Last,IV,Delta,Gamma,Theta,Vega,"IV Skew",Time
38.0000,Call,50.1,86.53%,0.941795573154,0.0016579487839186,-0.013174111023037,0.048506251474939,+64.80%,11/05/24
40.0000,Call,48.1,81.12%,0.94048666039609,0.0018170597073223,-0.012671760774006,0.049838274015736,+59.39%,11/05/24
42.0000,Call,46.1,76.00%,0.93920346895661,0.0019899015895521,-0.012161369451415,0.051132835052294,+54.27%,11/05/24
44.0000,Call,44.1,71.14%,0.9379424937159,0.0021783930205953,-0.01164460487282,0.052394373553229,+49.41%,11/05/24
46.0000,Call,42.1,66.51%,0.93670330146894,0.0023847507761754,-0.01112189797474,0.053624120327548,+44.78%,11/05/24
48.0000,Call,40.1,62.09%,0.93548405351336,0.0026116695314352,-0.010594120113013,0.054824623055922,+40.36%,11/05/24
50.0000,Call,38.1,57.86%,0.93428375014356,0.0028623903864688,-0.010061806594029,0.055997515438173,+36.13%,11/05/24
52.0000,Call,36.1,53.81%,0.93310076734108,0.0031408923091689,-0.0095256065507547,0.057144969652522,+32.08%,11/05/24
54.0000,Call,34.1,49.92%,0.93193461009949,0.0034520559161937,-0.008985816549723,0.058267998005081,+28.19%,11/05/24
56.0000,Call,32.1,46.18%,0.93078381191934,0.0038020113613092,-0.0084429250863698,0.059368498242812,+24.45%,11/05/24
58.0000,Call,30.1,42.58%,0.92964743043597,0.0041985021882977,-0.0078972316960516,0.060447809819873,+20.85%,11/05/24
60.0000,Call,28.125,39.51%,0.92704837152803,0.0047076639508238,-0.007607862833856,0.062889390997062,+17.78%,11/05/24
62.0000,Call,26.15,36.54%,0.92419703345813,0.0053045625969403,-0.0073138527729044,0.065526228715571,+14.81%,11/05/24
63.0000,Call,25.175,35.27%,0.92184883059862,0.0056748985885155,-0.0072910049594294,0.0676661987323,+13.54%,11/05/24
64.0000,Call,24.225,34.36%,0.9177222557455,0.0061421666291209,-0.0075112491952983,0.071360586761194,+12.63%,11/05/24
65.0000,Call,23.25,33.10%,0.91503806379657,0.0065866101407893,-0.0074774820673712,0.07372007152554,+11.37%,11/05/24
66.0000,Call,22.3,32.18%,0.91048970972171,0.0071364483936093,-0.0076770560905897,0.077643296446444,+10.45%,11/05/24
67.0000,Call,21.35,31.24%,0.90569430552609,0.0077342845644557,-0.007862911369669,0.081682094432371,+9.51%,11/05/24
68.0000,Call,20.4,30.28%,0.90062625699153,0.008386515757417,-0.0080347495562858,0.08584710382747,+8.55%,11/05/24
69.0000,Call,19.475,29.57%,0.89355763143799,0.0091496380661827,-0.0084105496349831,0.09148822584657,+7.84%,11/05/24
70.0000,Call,18.55,28.83%,0.88615231931666,0.009972793974089,-0.0087590163584856,0.097200015106279,+7.10%,11/05/24
71.0000,Call,17.625,28.04%,0.87836623206322,0.010865318732285,-0.0090801389130159,0.1029998306116,+6.31%,11/05/24
72.0000,Call,16.75,27.66%,0.86693448944207,0.011884181615047,-0.0097624333922145,0.11115741519865,+5.93%,11/05/24
73.0000,Call,15.875,27.20%,0.85515945464837,0.012955960457119,-0.010386005788521,0.11914418805394,+5.47%,11/05/24
74.0000,Call,14.975,26.46%,0.84441866332572,0.014096116036197,-0.010778058138873,0.12608533921382,+4.73%,11/05/24
