Strike,Type,Last,IV,Delta,Gamma,Theta,Vega,"IV Skew","Last Trade"
365-0,Call,50.75,26.75%,0.88589729714664,0.0042038997389531,-0.070378132516028,0.30057672988884,+9.10%,09/25/24
370-0,Call,46,25.28%,0.87235985722513,0.004840772640635,-0.072912594129579,0.32720938507573,+7.64%,09/25/24
375-0,Call,41.25,23.73%,0.85717583516386,0.0056017395834521,-0.074868564996297,0.35530274687631,+6.08%,09/25/24
380-0,Call,37,23.33%,0.82770323722338,0.0064924210923758,-0.085269193770047,0.4049825058503,+5.68%,"09:09 CT"
385-0,Call,32.25,21.48%,0.80764451090155,0.0075834353119879,-0.085366608182062,0.43546514556342,+3.83%,09/25/24
390-0,Call,30.625,25.73%,0.73105215042589,0.0077083741372199,-0.12842963688927,0.53030130860189,+8.09%,"09:43 CT"
395-0,Call,24.25,20.32%,0.72633645054911,0.0098506278302558,-0.10370260915789,0.53511956630019,+2.67%,09/25/24
400-0,Call,19,17.90%,0.69104030344646,0.011861791971662,-0.099533321759958,0.56771850169629,+0.25%,"12:15 CT"
405-0,Call,19.625,23.23%,0.60538017983615,0.010029697432497,-0.14485905092331,0.62291517681659,+5.58%,"10:02 CT"
410-0,Call,13.5,17.91%,0.56107516840944,0.013344685573944,-0.12072631320727,0.63893449219303,+0.26%,"11:47 CT"
415-0,Call,10.625,18.10%,0.49385475997884,0.013384719896977,-0.12873728167351,0.64757487199241,+0.45%,"12:08 CT"
420-0,Call,8.75,18.35%,0.42921372637231,0.013008003760283,-0.13421318161831,0.63824902942532,+0.71%,"12:19 CT"
425-0,Call,6.875,19.33%,0.37442859801561,0.011932076666719,-0.14096747652463,0.61663352694148,+1.68%,"12:17 CT"
430-0,Call,5.625,18.63%,0.31101851108258,0.011553668163594,-0.13554296110774,0.57528840307527,+0.98%,"12:11 CT"
435-0,Call,4.625,18.72%,0.25917332493727,0.010543957354156,-0.13250870725944,0.52762808474832,+1.07%,"11:48 CT"
440-0,Call,3.5,19.38%,0.22053492761676,0.0093294933339062,-0.13135666791283,0.48330185181376,+1.73%,"12:11 CT"
445-0,Call,3.75,21.11%,0.20153575153681,0.0081234726394922,-0.13619347834542,0.45852198920919,+3.47%,"10:15 CT"
450-0,Call,2.75,20.64%,0.16023168722224,0.0071974798614699,-0.12619923663518,0.39720343338908,+2.99%,"11:09 CT"
455-0,Call,2.125,20.67%,0.12984336391229,0.0062405733315798,-0.11900417571745,0.3448272775387,+3.02%,09/25/24
460-0,Call,1.5,21.90%,0.11797067562589,0.0055068590251056,-0.11972309481228,0.32247482701709,+4.26%,"12:11 CT"
365-0,Put,0.75,20.11%,-0.052491776406778,0.0032563333536347,-0.024350560919576,0.17502247221036,+2.46%,09/25/24
370-0,Put,0.875,18.99%,-0.062951059550452,0.003976830687774,-0.026272079022986,0.2018906677979,+1.34%,"11:33 CT"
375-0,Put,1.25,18.77%,-0.085872303164031,0.0050993467678742,-0.033077625127603,0.25591326529967,+1.12%,09/25/24
380-0,Put,1.75,17.73%,-0.10492250053177,0.0062583534494802,-0.03583248681063,0.29655656418788,+0.08%,"12:16 CT"
385-0,Put,2.25,17.20%,-0.13609051223585,0.0077453218507726,-0.041662485630345,0.356145153081,-0.45%,"12:12 CT"
390-0,Put,3,17.49%,-0.18538506674501,0.009322350223269,-0.052302145438263,0.43580570351775,-0.16%,"11:16 CT"
395-0,Put,3.5,16.16%,-0.22253535107147,0.011246595487236,-0.052809936693863,0.4857929535094,-1.49%,"10:16 CT"
400-0,Put,5.625,17.73%,-0.30024258594204,0.011951773515005,-0.069010142122237,0.56644401380113,+0.08%,"11:51 CT"
405-0,Put,7.375,17.46%,-0.36269354185265,0.013074199012432,-0.072380336544026,0.6103286496364,-0.19%,"11:47 CT"
410-0,Put,9.875,17.67%,-0.43122742946044,0.013521544763631,-0.075781955761092,0.63880174359109,+0.02%,"12:01 CT"
415-0,Put,11.625,16.95%,-0.50096388677638,0.014287463952889,-0.071035972389952,0.64754518688148,-0.69%,"11:13 CT"
420-0,Put,15.25,16.66%,-0.57308304423901,0.014268428306072,-0.065352800517393,0.63541181602339,-0.99%,"11:52 CT"
425-0,Put,18.875,17.83%,-0.63054422171666,0.012796873225258,-0.065728939651642,0.61007937371813,+0.18%,"12:19 CT"
430-0,Put,21.75,18.18%,-0.68663130350104,0.011759019391251,-0.059112218899051,0.57137162173286,+0.53%,"11:23 CT"
435-0,Put,23.5,14.19%,-0.80063177445884,0.011741266529184,-0.018898340719495,0.44553038492582,-3.45%,"09:18 CT"
440-0,Put,26.125,7.18%,-0.97731619212304,0.0033123069442655,0.047163077372978,0.063551138346799,-10.47%,"10:09 CT"
445-0,Put,32.875,16.52%,-0.85434515645176,0.0081598020664865,-0.01128604691278,0.36034398045068,-1.13%,09/25/24
450-0,Put,35.375,0.00%,-0.84467555144892,0.0071607225157225,-0.023970490588394,0.3771213116683,-17.65%,"10:16 CT"
455-0,Put,41.75,16.02%,-0.92243751767555,0.0051370003478133,0.01623076027236,0.22002857603074,-1.63%,09/25/24
460-0,Put,45,0.00%,-0.90041801794649,0.0051303298939788,-0.00055200409999142,0.27019015674191,-17.65%,"09:11 CT"
"Downloaded from Barchart.com as of 09-26-2024 12:31pm CDT"
