Strike,Type,Last,IV,Delta,Gamma,Theta,Vega,"IV Skew","Last Trade"
540-0,Call,107.625,26.13%,0.81294070607155,0.0019850533381129,-0.080041914893183,1.1414802343429,-1.28%,10/10/24
550-0,Call,100.125,26.12%,0.78873427949952,0.0021682776569186,-0.089137760480415,1.245994802582,-1.30%,10/10/24
560-0,Call,93,26.16%,0.76247538469324,0.0023410458128938,-0.098669163299834,1.3476743371972,-1.25%,10/10/24
570-0,Call,86.125,26.17%,0.73507087410889,0.0025042521549332,-0.10786137711502,1.4417774131276,-1.25%,10/10/24
580-0,Call,79.75,26.29%,0.7057997212865,0.0026443101250029,-0.1175478539593,1.5296312512842,-1.12%,10/10/24
590-0,Call,73.75,26.43%,0.67561632399496,0.0027632964635524,-0.12699791541634,1.607307746765,-0.98%,10/10/24
600-0,Call,68.125,26.60%,0.64485526552791,0.002859581513769,-0.13607096528831,1.6736295172012,-0.81%,10/10/24
610-0,Call,62.875,26.78%,0.61383569332809,0.0029322081017243,-0.14466221914836,1.7279015886287,-0.63%,10/10/24
620-0,Call,58,26.98%,0.58286555013472,0.002980813008621,-0.15269979592764,1.7698543757482,-0.43%,10/10/24
630-0,Call,53.5,27.21%,0.55224420418096,0.0030055630871838,-0.1601434071495,1.7996025639952,-0.20%,10/10/24
640-0,Call,49.25,27.40%,0.52215534998076,0.0030147298508507,-0.1666465341046,1.8176588800089,-0.01%,10/10/24
650-0,Call,45.375,27.63%,0.49284887922042,0.0030014365939522,-0.17257901058943,1.8247039330159,+0.22%,10/10/24
660-0,Call,41.625,27.77%,0.46411152226412,0.002981439439273,-0.17732185035788,1.8215503099576,+0.35%,10/10/24
670-0,Call,38.375,28.03%,0.43678967043126,0.0029338514514329,-0.181919773212,1.8092977929574,+0.61%,10/10/24
680-0,Call,35.25,28.21%,0.4102223678054,0.0028812507053723,-0.18546099466617,1.7886749831629,+0.80%,10/10/24
690-0,Call,32.375,28.40%,0.38477291225588,0.0028173989015898,-0.18835243898132,1.7607756104596,+0.99%,10/10/24
700-0,Call,29.75,28.60%,0.36056024315258,0.0027434458188958,-0.19068351815143,1.7267179071747,+1.19%,10/10/24
710-0,Call,27.375,28.83%,0.33771028571994,0.0026607150153268,-0.19255462261988,1.6877251905561,+1.41%,10/10/24
720-0,Call,25.125,29.01%,0.31573875471495,0.0025753909699427,-0.19370017576581,1.6438112273562,+1.59%,10/10/24
730-0,Call,23.125,29.23%,0.29529241069333,0.0024833941632847,-0.1945858596865,1.5971423053008,+1.81%,10/10/24
540-0,Put,10.625,25.29%,-0.15599336578747,0.0019994964558785,-0.051844312464373,1.1128263511018,-2.12%,10/10/24
550-0,Put,13,25.14%,-0.17945969606247,0.0021998382137064,-0.056296106049133,1.2170294438556,-2.27%,10/10/24
560-0,Put,15.75,25.64%,-0.20925697534242,0.0023663601464081,-0.063353291359363,1.3350695898603,-1.77%,10/10/24
570-0,Put,18.75,25.76%,-0.23772059473924,0.0025297232276112,-0.068338934605906,1.43411667323,-1.65%,10/10/24
580-0,Put,22.25,25.99%,-0.26786262313445,0.0026671880824657,-0.07325788273876,1.5254493381324,-1.42%,10/10/24
590-0,Put,26,26.15%,-0.29838865366546,0.0027884776012102,-0.077243656506877,1.6045753386422,-1.26%,10/10/24
600-0,Put,30.25,26.40%,-0.32970965334399,0.0028790461409316,-0.080910748644377,1.6724716129655,-1.01%,10/10/24
610-0,Put,34.875,26.66%,-0.3610983071409,0.0029448609505873,-0.083859293554341,1.7275553453338,-0.75%,10/10/24
620-0,Put,39.75,26.87%,-0.39220906957602,0.0029937906809795,-0.085776245919201,1.7697585296998,-0.55%,10/10/24
630-0,Put,45.125,27.16%,-0.42293509584855,0.0030108892049339,-0.087292099684604,1.7996199034057,-0.25%,10/10/24
640-0,Put,50.75,27.42%,-0.45296924888181,0.0030124531067506,-0.087845002589818,1.8176452800124,+0.01%,10/10/24
650-0,Put,56.625,27.65%,-0.48225613147828,0.0029993077797248,-0.087498085881742,1.8247006025274,+0.24%,10/10/24
660-0,Put,62.75,27.85%,-0.51072333152409,0.0029722377723467,-0.086321234598841,1.821640936958,+0.44%,10/10/24
670-0,Put,69.25,28.11%,-0.5379647186554,0.0029251634617506,-0.084722039014615,1.809544167407,+0.70%,10/10/24
680-0,Put,76,28.37%,-0.56407332611709,0.0028665893413949,-0.08248977088941,1.7894793107046,+0.96%,10/10/24
690-0,Put,83,28.63%,-0.58894822619944,0.0027976492063197,-0.079732302128615,1.7625640599333,+1.22%,10/10/24
700-0,Put,90.25,28.91%,-0.61248031370588,0.0027196098804776,-0.076568146784137,1.7299909005773,+1.50%,10/10/24
710-0,Put,97.625,29.14%,-0.63510509546467,0.0026389953676269,-0.072723004220281,1.6920316881298,+1.73%,10/10/24
720-0,Put,105.375,29.48%,-0.6556536638783,0.0025466182152112,-0.069121758738165,1.6517895937561,+2.06%,10/10/24
730-0,Put,113.125,29.71%,-0.67579955425583,0.0024579435092771,-0.064626391846992,1.6068744314242,+2.30%,10/10/24
"Downloaded from Barchart.com as of 10-10-2024 03:00pm CDT"
