Strike,Type,Last,IV,Delta,Gamma,Theta,Vega,"IV Skew","Last Trade"
555-0,Call,54.25,27.94%,0.81826127498679,0.0044639224915689,-0.17883299782649,0.5355347538059,-1.24%,10/10/24
560-0,Call,50.375,27.97%,0.79280319761522,0.0048442751617889,-0.19636703085686,0.58185985428436,-1.21%,10/10/24
565-0,Call,46.625,27.97%,0.7657937695292,0.0052092681730652,-0.21324425582955,0.62577744511726,-1.21%,10/10/24
570-0,Call,43.125,26.43%,0.74749181325424,0.005751386358368,-0.21185211992712,0.65266772657679,-2.75%,10/10/24
575-0,Call,39.75,28.22%,0.70567036104152,0.0058247747238512,-0.24764774245136,0.70596574349699,-0.96%,10/10/24
580-0,Call,36.625,28.77%,0.67203379624506,0.0059986018721295,-0.26768848316337,0.74106547220636,-0.41%,10/10/24
585-0,Call,33.75,30.36%,0.63516371608533,0.0059221361203252,-0.29684878643329,0.77200916051175,+1.18%,10/10/24
590-0,Call,31,30.86%,0.60327303274012,0.0059812415879642,-0.31269482313873,0.79265986697832,+1.68%,10/09/24
595-0,Call,28.5,26.50%,0.57841518809504,0.0070737163038681,-0.27837075516434,0.80492690676086,-2.68%,10/10/24
600-0,Call,26,28.18%,0.54191313729233,0.0067513956248616,-0.30290477088478,0.8169742721369,-1.00%,10/10/24
605-0,Call,23.875,27.95%,0.5077334715402,0.0068489087537979,-0.30649147741973,0.82190000755832,-1.24%,10/10/24
610-0,Call,21.75,28.88%,0.47570632355315,0.0066207289321835,-0.31934144088923,0.82097266023977,-0.30%,10/10/24
615-0,Call,19.875,28.69%,0.4426013287619,0.0066089121870318,-0.31956491178521,0.81437138447492,-0.49%,10/10/24
620-0,Call,18,30.64%,0.41846439431602,0.0061243912498454,-0.33860757365505,0.80591762000829,+1.46%,10/10/24
625-0,Call,16.375,30.73%,0.38942913760732,0.005998877323457,-0.33805031551066,0.79162981686372,+1.55%,10/10/24
630-0,Call,14.875,30.80%,0.36128677069411,0.0058473618403719,-0.33578977967501,0.77341559510639,+1.62%,10/10/24
635-0,Call,13.5,29.86%,0.32776055538913,0.0058171612412992,-0.32177235882485,0.74596323457981,+0.68%,10/10/24
640-0,Call,12.25,30.24%,0.30336659091309,0.0055602308212181,-0.31973912073215,0.72193382993252,+1.05%,10/10/24
645-0,Call,11.125,32.24%,0.2923161819706,0.0051277824494421,-0.33406380064746,0.70989072861279,+3.06%,10/10/24
650-0,Call,10,29.58%,0.24807510343467,0.0051496582655591,-0.29749546341942,0.65413279800874,+0.40%,10/10/24
555-0,Put,5.625,26.47%,-0.16462832244613,0.0045093519754474,-0.13715262356734,0.51265971819778,-2.71%,10/10/24
560-0,Put,6.75,27.34%,-0.19698079494035,0.0048858020336633,-0.15937823526665,0.57360859800563,-1.84%,10/10/24
565-0,Put,8.125,27.23%,-0.22345459696911,0.0052815807339207,-0.17088096884613,0.61760370445487,-1.95%,10/10/24
570-0,Put,9.5,28.60%,-0.26124523391057,0.0054719529045899,-0.19650368446978,0.6720248330579,-0.58%,10/10/24
575-0,Put,11.125,28.53%,-0.29052670916634,0.0057774997309706,-0.20624875507364,0.70787133813641,-0.65%,10/10/24
580-0,Put,13,28.09%,-0.31938162133131,0.0061198734526077,-0.21095752336496,0.73810124301768,-1.09%,10/10/24
585-0,Put,15.125,29.09%,-0.35525900166085,0.006155953413442,-0.22812320921663,0.76894619260318,-0.09%,10/10/24
590-0,Put,17.375,29.50%,-0.38831621611118,0.0062433842029925,-0.23775088330675,0.79099172379531,+0.32%,10/10/24
595-0,Put,19.75,29.70%,-0.42069627014854,0.0063269421271738,-0.24342400636117,0.80682902886663,+0.52%,10/10/24
600-0,Put,22.375,29.68%,-0.45288023227731,0.006409621292764,-0.24529231104433,0.81703703342026,+0.50%,10/10/24
605-0,Put,25,29.02%,-0.48574400377266,0.0065951807935789,-0.23907387236847,0.82183990275487,-0.16%,10/10/24
610-0,Put,28,29.98%,-0.5165441035513,0.0063780971131003,-0.24645830917579,0.82121523889693,+0.80%,10/10/24
615-0,Put,31,32.45%,-0.54085255897505,0.0058650420526563,-0.26694768150793,0.81721918107568,+3.27%,10/10/24
620-0,Put,34.25,30.44%,-0.5768374536136,0.0061621145715471,-0.24214633694186,0.80559374530775,+1.26%,10/10/24
625-0,Put,37.5,30.56%,-0.60589765396332,0.0060285242880209,-0.23649429216324,0.79117021633509,+1.38%,10/10/24
630-0,Put,41,30.83%,-0.63310353634678,0.0058434947865121,-0.23096056739616,0.77351243829553,+1.64%,10/10/24
635-0,Put,44.625,31.09%,-0.65896187322152,0.0056393256146791,-0.22425502137215,0.75292004220463,+1.91%,10/10/24
640-0,Put,48.375,31.37%,-0.68335829680548,0.0054190327569467,-0.21666998769294,0.7299956023536,+2.19%,10/10/24
645-0,Put,52.125,31.50%,-0.70743774366993,0.0052044404246354,-0.20648356893462,0.70393422566467,+2.32%,10/10/24
650-0,Put,56.125,31.84%,-0.72864530918157,0.0049597841246457,-0.19800101839011,0.6780544521842,+2.66%,10/10/24
"Downloaded from Barchart.com as of 10-10-2024 03:00pm CDT"
