Strike,Open,High,Low,Last,Change,Bid,Ask,Volume,"Open Int",Premium,Time,Type
210-0C,0,240.25,240.25,240.25,2,237.25,239.375,,,12012.5,10/07/24,Call
220-0C,0,230.25,230.25,230.25,2,227.25,229.375,,,11512.5,10/07/24,Call
230-0C,0,220.25,220.25,220.25,2,217.25,219.375,,,11012.5,10/07/24,Call
240-0C,0,210.25,210.25,210.25,2,207.25,209.375,,,10512.5,10/07/24,Call
250-0C,0,200.25,200.25,200.25,2,197.25,199.375,,,10012.5,10/07/24,Call
260-0C,0,190.25,190.25,190.25,2,187.25,189.375,,,9512.5,10/07/24,Call
270-0C,0,180.25,180.25,180.25,2,177.25,179.375,,,9012.5,10/07/24,Call
280-0C,0,170.25,170.25,170.25,2,167,169.375,,,8512.5,10/07/24,Call
290-0C,0,160.25,160.25,160.25,2,157.125,159.375,,,8012.5,10/07/24,Call
300-0C,0,150.25,150.25,150.25,2,147,149.375,,,7512.5,10/07/24,Call
310-0C,0,140.25,140.25,140.25,2,137,139.375,,,7012.5,10/07/24,Call
320-0C,0,130.25,130.25,130.25,2,127,129.375,,,6512.5,10/07/24,Call
330-0C,0,120.375,120.375,120.375,1.875,117.375,119.375,,,6018.75,10/07/24,Call
340-0C,0,110.75,110.75,110.75,1.875,107.75,109.625,,,5537.5,10/07/24,Call
350-0C,0,101.5,101.5,101.5,1.875,98.125,100.25,,,5075,10/07/24,Call
360-0C,0,92.5,92.5,92.5,1.75,89.5,91.25,,,4625,10/07/24,Call
370-0C,0,83.875,83.875,83.875,1.625,81,82.75,,,4193.75,10/07/24,Call
380-0C,0,75.75,75.75,75.75,1.625,72.875,74.75,,,3787.5,10/07/24,Call
390-0C,0,68.125,68.125,68.125,1.5,65.5,67.25,,,3406.25,10/07/24,Call
400-0C,0,61.125,61.125,61.125,1.5,58.75,60.375,,301,3056.25,10/07/24,Call
410-0C,52.25,54.625,52.25,54.625,1.375,52.375,54,1,64,2731.25,10/07/24,Call
420-0C,0,48.75,48.75,48.75,1.375,46.875,48,,335,2437.5,10/07/24,Call
