Strike,Open,High,Low,Last,Change,Bid,Ask,Volume,"Open Int",Premium,Time,Type
200-0C,0,226,226,226,1.25,220.75,222,,,11300,10/07/24,Call
210-0C,0,216,216,216,1.25,210.875,212.125,,,10800,10/07/24,Call
220-0C,0,206,206,206,1.25,200.75,202.125,,,10300,10/07/24,Call
230-0C,0,196,196,196,1.25,190.875,192.125,,,9800,10/07/24,Call
240-0C,0,186,186,186,1.25,180.875,182.125,,,9300,10/07/24,Call
250-0C,0,176,176,176,1.25,170.875,172.125,,,8800,10/07/24,Call
260-0C,0,166,166,166,1.25,160.875,162.125,,,8300,10/07/24,Call
270-0C,0,156,156,156,1.25,150.875,152,,,7800,10/07/24,Call
280-0C,0,146,146,146,1.25,140.875,142.125,,,7300,10/07/24,Call
290-0C,0,136,136,136,1.25,130.75,132.125,,,6800,10/07/24,Call
295-0C,0,131,131,131,1.25,125.75,127.125,,,6550,10/07/24,Call
300-0C,0,126,126,126,1.25,120.25,122.75,,,6300,10/07/24,Call
305-0C,0,121,121,121,1.25,115.25,117.75,,,6050,10/07/24,Call
310-0C,0,116,116,116,1.25,110.125,112.75,,,5800,10/07/24,Call
315-0C,0,111,111,111,1.25,105.25,107.75,,,5550,10/07/24,Call
320-0C,0,106,106,106,1.25,100.125,102.75,,39,5300,10/07/24,Call
325-0C,0,101,101,101,1.25,95.375,97.75,,,5050,10/07/24,Call
330-0C,0,96,96,96,1.25,90.375,92.125,,20,4800,10/07/24,Call
335-0C,0,91,91,91,1.25,85.375,87.125,,,4550,10/07/24,Call
340-0C,0,86,86,86,1.25,80.625,82.375,,16,4300,10/07/24,Call
345-0C,0,81,81,81,1.25,76,77,,,4050,10/07/24,Call
350-0C,72.25,76,72.25,76,1.25,70.625,72.5,2,68,3800,10/07/24,Call
355-0C,0,71.125,71.125,71.125,1.25,65.75,67.25,,,3556.25,10/07/24,Call
360-0C,0,66.125,66.125,66.125,1.25,60.75,62.125,1,393,3306.25,10/07/24,Call
365-0C,0,61.125,61.125,61.125,1.125,55.125,57.5,,20,3056.25,10/07/24,Call
370-0C,53.5,53.5,53.5,53.5,-2.75,51.25,52.5,20,130,2675,"09:23 ET",Call
375-0C,0,51.375,51.375,51.375,1.25,46.625,47,,64,2568.75,10/07/24,Call
380-0C,46.25,46.25,42.5,42.5,-4,41.875,42.25,23,2642,2125,"10:24 ET",Call
385-0C,0,41.75,41.75,41.75,1.25,37.125,37.5,,1070,2087.5,10/07/24,Call
390-0C,38.5,38.5,32.125,33,-4.125,32.625,33,200,3647,1650,"12:30 ET",Call
395-0C,27,27,27,27,-5.5,28.25,28.625,50,1202,1350,"12:01 ET",Call
400-0C,26.5,26.5,23.125,23.125,-5,24.125,24.5,100,18026,1156.25,"11:57 ET",Call
405-0C,19.75,20,19.25,20,-4.125,20.375,20.625,18,2880,1000,"12:10 ET",Call
410-0C,19,19,15.875,17.375,-3,17,17.25,71,17736,868.75,"12:14 ET",Call
415-0C,14.375,15.625,13.5,14.25,-2.75,13.875,14.125,58,4114,712.5,"12:17 ET",Call
420-0C,12.375,13,10.5,11.5,-2.5,11.25,11.5,1716,22498,575,"12:17 ET",Call
425-0C,9.625,10,8.5,9.375,-2,9,9.25,3772,7058,468.75,"12:18 ET",Call
430-0C,8.375,8.75,6.625,7,-2.125,7.125,7.375,1691,31947,350,"12:10 ET",Call
435-0C,5.875,6.75,5.375,5.75,-1.5,5.625,5.875,891,4789,287.5,"12:10 ET",Call
440-0C,6.25,6.25,4.125,4.625,-1.125,4.375,4.625,1753,17799,231.25,"12:25 ET",Call
445-0C,3.75,4,3.375,3.5,-1,3.5,3.625,1037,2690,175,"11:21 ET",Call
450-0C,3.75,3.75,2.625,2.875,-0.625,2.75,2.875,763,26779,143.75,"12:23 ET",Call
455-0C,2.375,2.375,2.125,2.125,-0.625,2.125,2.375,96,1405,106.25,"10:59 ET",Call
460-0C,1.875,1.875,1.75,1.75,-0.5,1.75,1.875,372,10455,87.5,"10:26 ET",Call
465-0C,0,1.75,1.75,1.75,-0.125,1.375,1.5,,612,87.5,10/07/24,Call
470-0C,1.125,1.375,1.125,1.125,-0.375,1.125,1.25,63,10067,56.25,"11:47 ET",Call
475-0C,1.125,1.25,1.125,1.25,0,0.875,1.125,33,401,62.5,10/07/24,Call
480-0C,1,1,0.75,0.75,-0.25,0.75,1,192,15197,37.5,"10:09 ET",Call
485-0C,0.75,0.75,0.75,0.75,-0.125,0.625,0.875,1,1252,37.5,"08:38 ET",Call
490-0C,0.625,0.625,0.625,0.625,-0.125,0.5,0.75,111,8548,31.25,"12:20 ET",Call
495-0C,0,0.625,0.625,0.625,-0.125,0.5,0.625,,314,31.25,10/07/24,Call
500-0C,0.5,0.5,0.375,0.375,-0.125,0.375,0.625,26,24431,18.75,"10:48 ET",Call
505-0C,0.5,0.5,0.5,0.5,0,0.375,0.5,,3,25,10/07/24,Call
510-0C,0.5,0.5,0.5,0.5,0.125,0.25,0.5,11,8724,25,"09:07 ET",Call
515-0C,0,0.375,0.375,0.375,0,0.25,0.375,,,18.75,10/07/24,Call
520-0C,0.375,0.5,0.25,0.375,0,0.25,0.375,111,11489,18.75,10/07/24,Call
525-0C,0,0.25,0.25,0.25,-0.125,0.25,0.375,,,12.5,10/07/24,Call
530-0C,0.25,0.25,0.25,0.25,0,0.125,0.375,,14428,12.5,"19:49 ET",Call
535-0C,0,0.25,0.25,0.25,0,0.125,0.25,,,12.5,10/07/24,Call
540-0C,0,0.25,0.25,0.25,0,0.125,0.25,,6958,12.5,10/07/24,Call
550-0C,0.25,0.25,0.25,0.25,0,0.125,0.25,9,13316,12.5,10/07/24,Call
560-0C,0.25,0.25,0.125,0.125,0,0.02,0.25,1,4980,6.25,10/07/24,Call
570-0C,0.125,0.125,0.125,0.125,0,0.02,0.125,15,5857,6.25,10/07/24,Call
580-0C,0,0.125,0.125,0.125,0,0.02,0.125,,2924,6.25,10/07/24,Call
590-0C,0,0.125,0.125,0.125,0,0.02,0.125,,2756,6.25,10/07/24,Call
600-0C,0.125,0.125,0.125,0.125,0,0.02,0.125,8,13388,6.25,"12:07 ET",Call
610-0C,0,0.125,0.125,0.125,0,0,0.125,,1177,6.25,10/07/24,Call
620-0C,0,0.125,0.125,0.125,0,0,0.125,,2415,6.25,10/07/24,Call
630-0C,0,0.125,0.125,0.125,0,0,0.125,,1299,6.25,10/07/24,Call
640-0C,0,0.125,0.125,0.125,0,0,0.125,,2449,6.25,10/07/24,Call
650-0C,0,0.125,0.125,0.125,0,0,0.125,,2127,6.25,10/07/24,Call
660-0C,0,0.125,0.125,0.125,0,0,0.125,,1129,6.25,10/07/24,Call
