Strike,Type,Last,IV,Delta,Gamma,Theta,Vega,"IV Skew","Last Trade"
"5,815.00",Call,247,21.04%,0.98524378436653,0.00031604954840341,-0.68527310718235,0.20078099545412,+8.29%,12/02/24
"5,820.00",Call,242,20.65%,0.98504309383536,0.00032580872126443,-0.68052902885074,0.20318926765888,+7.91%,12/02/24
"5,825.00",Call,237,20.27%,0.98483489176827,0.00033607977875669,-0.67574746384692,0.20568135179264,+7.52%,12/02/24
"5,830.00",Call,232,19.88%,0.98461868728647,0.00034690171175395,-0.67092890811561,0.20826248549521,+7.14%,12/02/24
"5,835.00",Call,227,19.49%,0.98439435619816,0.00035831091720836,-0.66605488559475,0.2109334732307,+6.75%,12/02/24
"5,840.00",Call,222.25,20.14%,0.97933839260802,0.00044281373274163,-0.88243294541564,0.26937134500198,+7.40%,12/02/24
"5,845.00",Call,217.25,19.74%,0.97901155836624,0.00045795914503118,-0.87636957776135,0.27304294429389,+7.00%,12/02/24
"5,850.00",Call,212.25,19.34%,0.97867153878014,0.00047397633033313,-0.8702269620416,0.27685012774075,+6.60%,12/02/24
"5,855.00",Call,207.25,18.94%,0.9783175254087,0.00049093634431626,-0.86399954385431,0.28080060011909,+6.20%,12/02/24
"5,860.00",Call,202.25,18.54%,0.97794842914164,0.00050892100493196,-0.85769032740456,0.2849050340731,+5.79%,12/02/24
"5,865.00",Call,197.25,18.14%,0.97756348314886,0.00052801490349696,-0.85128450957786,0.28917033900437,+5.39%,12/02/24
"5,870.00",Call,192.25,17.73%,0.9771613931943,0.00054831907709951,-0.84478538483,0.29360908158722,+4.99%,12/02/24
"5,875.00",Call,187.5,18.10%,0.97176673309779,0.00064343320200892,-1.0360175266105,0.35164377355763,+5.35%,12/02/24
"5,880.00",Call,182.5,17.68%,0.9712288912474,0.00066917507528549,-1.0280496131517,0.35728543294679,+4.94%,12/02/24
"5,885.00",Call,177.5,17.26%,0.97066603650218,0.00069665034545937,-1.0199208697905,0.36316328577746,+4.52%,12/02/24
"5,890.00",Call,172.5,16.84%,0.97007564353509,0.00072603623505767,-1.0116464402819,0.36930041493758,+4.10%,12/02/24
"5,895.00",Call,167.75,17.05%,0.96448864920982,0.00082753713202151,-1.1844521285378,0.42602663383079,+4.30%,12/02/24
"5,900.00",Call,162.75,16.62%,0.96373274284776,0.000863975467056,-1.1744579261124,0.43352468461276,+3.87%,12/02/24
"5,905.00",Call,158,16.72%,0.95810985745086,0.00096660763876497,-1.333804501333,0.48809348820282,+3.98%,12/02/24
"5,910.00",Call,153,16.28%,0.95716773434292,0.0010111596885864,-1.3219218990213,0.49703899431456,+3.53%,12/02/24
"5,915.00",Call,148.25,16.31%,0.95144020573161,0.0011175808632107,-1.4691580646977,0.55029478620494,+3.56%,12/02/24
"5,920.00",Call,143.25,15.85%,0.95028497216777,0.0011716844837026,-1.4551880816593,0.5608123567585,+3.11%,12/02/24
"5,925.00",Call,138.5,15.81%,0.94438867897166,0.001284432949982,-1.5911614032699,0.61340146345038,+3.07%,12/02/24
"5,930.00",Call,133.75,15.73%,0.93844887824379,0.0013988103137849,-1.7184180328172,0.66464592375385,+2.99%,12/02/24
"5,935.00",Call,129,15.62%,0.93243356618358,0.001515989960208,-1.8375168570751,0.71490673746375,+2.87%,12/02/24
"5,940.00",Call,124.25,15.46%,0.92631264903579,0.0016370584984029,-1.9488847005529,0.76448007905516,+2.72%,12/02/24
"5,945.00",Call,119.5,15.28%,0.92005800019972,0.0017630658370509,-2.0528060801628,0.81360710053904,+2.54%,12/02/24
"5,950.00",Call,114.75,15.07%,0.91364056409072,0.0018950904116844,-2.1495029791788,0.86250316751955,+2.33%,12/02/24
"5,955.00",Call,110.25,15.11%,0.90308186765591,0.0020603498428773,-2.3537204406113,0.93984825408314,+2.36%,12/02/24
"5,960.00",Call,105.5,14.83%,0.89629725705944,0.0022050052616985,-2.4322403075291,0.98763661383848,+2.09%,12/02/24
"5,965.00",Call,101,14.78%,0.8855197314913,0.0023771137507018,-2.6085086604378,1.0606803124403,+2.03%,12/02/24
"5,970.00",Call,98,15.93%,0.85518454082365,0.0025963648432373,-3.3324981526432,1.2491463030613,+3.19%,"18:23 CT"
"5,975.00",Call,92,14.53%,0.8635444463667,0.0027341717627013,-2.9142295415284,1.199578779696,+1.79%,12/02/24
"5,980.00",Call,87.75,14.54%,0.84897580144586,0.0029258455131577,-3.1334120036116,1.2848617817701,+1.80%,12/02/24
"5,985.00",Call,83.5,14.50%,0.83437627883176,0.0031183102809747,-3.3290900150796,1.3653162799343,+1.76%,12/02/24
"5,990.00",Call,79.25,14.40%,0.81963737523948,0.0033142896295622,-3.5025249704744,1.441753501931,+1.66%,12/02/24
"5,995.00",Call,75,14.27%,0.80465726433077,0.0035162442451104,-3.6545561537512,1.5147771057736,+1.52%,12/02/24
"6,000.00",Call,71,14.24%,0.78680326345744,0.0037113160363044,-3.8559374414437,1.595979694624,+1.50%,12/02/24
"6,005.00",Call,67,14.16%,0.76881652952626,0.0039091614978285,-4.0292794701753,1.671683239421,+1.42%,12/02/24
"6,010.00",Call,64.75,14.03%,0.7505616156805,0.0041124560402343,-4.1755128162468,1.742537328567,+1.29%,"02:30 CT"
"6,015.00",Call,59.25,13.99%,0.72993032858159,0.0042969332531046,-4.3543199149227,1.8156707178381,+1.25%,12/02/24
"6,020.00",Call,56.5,13.90%,0.70910167339274,0.0044847074691904,-4.500633774896,1.8823190163221,+1.16%,"02:01 CT"
"6,025.00",Call,51.75,13.75%,0.68791011236575,0.0046783193164946,-4.6151128356411,1.9429832432382,+1.01%,"01:20 CT"
"6,030.00",Call,48.25,13.68%,0.66479550345934,0.0048435242623717,-4.7485698077347,2.0011970766402,+0.94%,12/02/24
"6,035.00",Call,44.75,13.55%,0.64134320260775,0.0050129887974868,-4.8456383028937,2.0520185973174,+0.81%,12/02/24
"6,040.00",Call,41.5,13.49%,0.61638385110675,0.0051469193321914,-4.9527820753609,2.0972151733854,+0.75%,12/02/24
"6,045.00",Call,38.25,13.37%,0.5910845371258,0.005283957644018,-5.019866023372,2.1338697952198,+0.63%,12/02/24
"6,050.00",Call,34.25,12.85%,0.56683888819756,0.0055684923132603,-4.9162566164983,2.1604927555857,+0.10%,"19:04 CT"
"6,055.00",Call,32.5,13.30%,0.53764378520943,0.005430946892952,-5.1598300315729,2.1816495629831,+0.56%,"18:13 CT"
"6,060.00",Call,29.5,13.12%,0.51048556968365,0.0055302221911831,-5.1428588989911,2.1907315710661,+0.37%,12/02/24
"6,065.00",Call,27,13.10%,0.48280487795911,0.0055349438359507,-5.164625723664,2.1895218276382,+0.36%,"00:31 CT"
"6,070.00",Call,26,13.71%,0.45739985893869,0.0052648103959905,-5.3916035519585,2.1791083276314,+0.96%,"21:43 CT"
"6,075.00",Call,23.25,13.45%,0.42984996270811,0.0053124012199319,-5.2812199926613,2.1577008280516,+0.71%,"02:08 CT"
