Strike,Type,Last,IV,Delta,Gamma,Theta,Vega,"IV Skew",Time
34.0000,Call,50.5,0.00%,0.98763056290906,2.7131180598504E-21,-2.75266252944E-22,9.8560103173301E-21,-22.44%,11/05/24
36.0000,Call,48.5,99.94%,0.95878664052751,0.0014867406846916,-0.014417406344963,0.029067246109974,+77.51%,11/05/24
38.0000,Call,46.5,93.48%,0.95781181983443,0.0016340031115802,-0.013843969731909,0.029880085602089,+71.04%,11/05/24
40.0000,Call,44.5,87.37%,0.95685594094429,0.0017945117657248,-0.013263316139602,0.0306710875034,+64.93%,11/05/24
42.0000,Call,42.5,81.58%,0.9559185486098,0.0019701206682699,-0.012675957006052,0.031441130076383,+59.14%,11/05/24
44.0000,Call,40.5,76.08%,0.95499746432866,0.0021631096925784,-0.012083206668679,0.032192449226949,+53.64%,11/05/24
46.0000,Call,38.5,70.83%,0.95409249663502,0.0023761656472914,-0.011485386749218,0.032925600060948,+48.40%,11/05/24
48.0000,Call,36.5,65.83%,0.95320101575195,0.0026126597764053,-0.010883772322769,0.03364306610379,+43.39%,11/05/24
50.0000,Call,34.5,61.03%,0.95232439449608,0.0028765846111244,-0.010278030804784,0.034344065873798,+38.60%,11/05/24
52.0000,Call,32.5,56.44%,0.95145905702073,0.0031731348234401,-0.0096695805554646,0.035031748678139,+34.00%,11/05/24
54.0000,Call,30.5,52.02%,0.95060663694506,0.0035086243359836,-0.0090580099057135,0.035705076994696,+29.58%,11/05/24
55.0000,Call,29.5,49.88%,0.95018473586289,0.0036934643643754,-0.008751267752268,0.036036859930126,+27.44%,11/05/24
56.0000,Call,28.5,47.77%,0.94976525768777,0.003891320062273,-0.0084440256307812,0.036365779499252,+25.34%,11/05/24
57.0000,Call,27.5,45.71%,0.94934895513218,0.0041035670480207,-0.0081360982295925,0.036691273138364,+23.27%,11/05/24
58.0000,Call,26.525,44.34%,0.94698514716742,0.0044410893681456,-0.0082909907112701,0.038522175045461,+21.90%,11/05/24
59.0000,Call,25.525,42.34%,0.9464748272342,0.0046979799365454,-0.0079820742712757,0.03891367501715,+19.91%,11/05/24
60.0000,Call,24.525,40.38%,0.94595788635347,0.00497646844722,-0.0076729234754153,0.039308919602399,+17.94%,11/05/24
61.0000,Call,23.55,39.06%,0.94324023804124,0.0054128698760296,-0.0078168386408151,0.041365218011643,+16.63%,11/05/24
62.0000,Call,22.575,37.75%,0.94035605908663,0.0058923874893696,-0.0079501284784479,0.043509336639759,+15.31%,11/05/24
63.0000,Call,21.575,35.87%,0.93956521207819,0.0062841893547076,-0.0076383566593463,0.044090644343857,+13.43%,11/05/24
64.0000,Call,20.625,35.09%,0.93401330991538,0.0070060399396956,-0.0081838314296093,0.048095373446242,+12.66%,11/05/24
65.0000,Call,19.65,33.76%,0.93050955482564,0.0076559099814346,-0.0082836457481066,0.050557476267108,+11.32%,11/05/24
66.0000,Call,18.675,32.42%,0.92675061876806,0.0083808184889179,-0.0083711014204113,0.053146115570055,+9.98%,11/05/24
67.0000,Call,17.725,31.51%,0.9202923554099,0.0093239237374291,-0.0088354252037889,0.057473520967046,+9.07%,11/05/24
68.0000,Call,16.775,30.54%,0.91345719251396,0.010359707614654,-0.0092619362946564,0.061898877165043,+8.11%,11/05/24
69.0000,Call,15.825,29.52%,0.90618487505168,0.011505367242722,-0.0096509472058764,0.066445216222698,+7.09%,11/05/24
70.0000,Call,14.925,29.14%,0.8938000310575,0.01295259214659,-0.010680378397851,0.073834257730526,+6.70%,11/05/24
71.0000,Call,14,28.29%,0.8831977714165,0.014424624663901,-0.011287850232658,0.079834820283905,+5.86%,11/05/24
72.0000,Call,13.1,27.65%,0.86979682017772,0.016088763197152,-0.012131048854887,0.08702720367894,+5.21%,11/05/24
73.0000,Call,12.225,27.16%,0.85370112960657,0.017908088471567,-0.01315912911784,0.095134196507117,+4.72%,11/05/24
74.0000,Call,11.35,26.52%,0.83692767625578,0.019859204853872,-0.014059748631753,0.10301542804217,+4.08%,11/05/24
75.0000,Call,10.525,26.20%,0.81573977363867,0.021895328368786,-0.015327924985571,0.11221077365589,+3.76%,11/05/24
76.0000,Call,9.725,25.91%,0.79231306546399,0.023967795754091,-0.016637537438796,0.1214675755245,+3.47%,11/05/24
77.0000,Call,8.925,25.43%,0.76818437336481,0.026146306748081,-0.017739988422354,0.13007702423536,+2.99%,11/05/24
78.0000,Call,8.15,24.97%,0.74174020857893,0.02835350054207,-0.018838111625988,0.13850770470108,+2.54%,11/05/24
79.0000,Call,7.4,24.51%,0.71305875650342,0.03056176155627,-0.01989534647839,0.14653553743979,+2.07%,11/05/24
80.0000,Call,6.675,24.03%,0.6821912114581,0.032745491381351,-0.020878188245484,0.15394849593329,+1.60%,11/05/24
81.0000,Call,6.025,23.84%,0.64782916344796,0.034476904859666,-0.022067178111574,0.16077739451203,+1.40%,11/05/24
82.0000,Call,5.375,23.43%,0.61259343085312,0.03627484801589,-0.022934736063708,0.16628698710003,+1.00%,11/05/24
83.0000,Call,4.75,22.97%,0.57559689572603,0.037939590145147,-0.023624429872284,0.17049932803534,+0.54%,11/05/24
84.0000,Call,4.2,22.74%,0.53682314012969,0.038946769491337,-0.024377724902952,0.17322767510016,+0.30%,11/05/24
85.0000,Call,3.65,22.28%,0.49685665971879,0.039982347622899,-0.024761470036035,0.17426169134743,-0.16%,11/05/24
86.0000,Call,3.2,22.17%,0.45699636037923,0.040001152771053,-0.025276972793279,0.17350544795055,-0.26%,11/05/24
87.0000,Call,2.775,21.98%,0.41714088143064,0.039751797630768,-0.02552744085325,0.17095665981237,-0.45%,11/05/24
88.0000,Call,2.375,21.71%,0.37725595241391,0.039219170075173,-0.025513116334596,0.1665845677041,-0.72%,11/05/24
